e_issn,journal_title,license,publisher
0718-2236,Última Década,CC BY,"Facultad de Ciencias Sociales y Núcleo de Investigación y Acción en Juventudes, Universidad de Chile"
0718-2244,Magallania,CC BY-NC,Universidad de Magallanes
0718-2279,Anuario de Derechos Humanos,CC BY-SA,Universidad de Chile
0718-2295,Revista Chilena de Literatura,CC BY-NC-ND,Universidad de Chile
0718-235X,Revista Interamericana de Ambiente y Turismo (RIAT),CC BY-NC,Universidad de Talca
0718-2376,Universum (Universum: Revista de Humanidades y Ciencias Sociales),CC BY-NC,Universidad de Talca
0718-2724,Journal of Technology Management & Innovation (Journal of Technology Management and Innovation),CC BY,Universidad Alberto Hurtado
0718-3305,Ingeniare: Revista Chilena de Ingeniería,CC BY,Universidad de Tarapacá
0718-333X,Neumología Pediátrica,CC BY-NC,Editorial Iku Ltda
0718-3607,Urbano,CC BY,Universidad del Bío Bío
0718-3992,Multidisciplinary Business Review (MBR),CC BY-NC-ND,"Asociación de Directivos Superiores de Administración, Negocios o Empresariales de Chile A.G. (ASFAE)"
0718-4123,Cuadernos de Neuropsicologia (Panamerican Journal of Neuropsychology),CC BY-NC,CAEN
0718-4360,Revista de Filosofía,CC BY,Universidad de Chile
0718-4662,Capic Review (Conferencia Académica Permanente de Investigación Contable),CC BY-NC-SA,Conferencia Académica Permanente de Investigación Contable (CAPIC)
0718-4727,Revista Cultura & Religión (Cultura & Religión),CC BY,Universidad Arturo Prat
0718-4735,Revista de Estudios de la Justicia,CC BY-SA,"Universidad de Chile, Facultad de Derecho"
0718-4867,Perspectivas de la Comunicación,CC BY,Universidad de La Frontera
0718-5014,Estudios Avanzados,CC BY,Universidad de Santiago de Chile
0718-5162,Revista de Estudios y Experiencias en Educación (REXE),CC BY-NC-ND,Universidad Católica de la Santísima Concepción
0718-5286,Estudios de Economía,CC BY-NC-SA,Universidad de Chile
0718-560X,Latin American Journal of Aquatic Research (LAJAR),CC BY-NC-ND,"Escuela de Ciencias del Mar, Facultad de Recursos Naturales, Pontificia Universidad Católica de Valparaíso"
0718-5693,Revista Electrónica Gestión de las Personas y Tecnología (Revista GPT),CC BY-NC-ND,Universidad de Santiago de Chile
0718-5766,Revista Encrucijada Americana,CC BY,Universidad Alberto Hurtado
0718-5898,Palimpsesto: Revista Científica de Estudios Sociales Iberoamericanos (Revista de Historia y Ciencias Sociales),CC BY,Universidad de Santiago de Chile
0718-591X,Revista de Derecho,CC BY,Universidad de Concepción
0718-6894,Boletín del Museo Chileno de Arte Precolombino,CC BY,Museo Chileno de Arte Precolombino
0718-6924,Psicoperspectivas,CC BY,Pontificia Universidad Católica de Valparaíso
0718-7106,Andean Geology (Andean geol.),CC BY,Servicio Nacional de Geología y Minería (SERNAGEOMIN)
0718-7181,Aisthesis (Aisthesis: Revista Chilena de Investigaciones Estéticas),CC BY-NC,Pontificia Universidad Católica de Chile
0718-8307,Ingenieria Industrial (Revista Ingeniería Industrial),CC BY,Universidad del Bío-Bío
0718-8358,Revista INVI,CC BY-NC-SA,Universidad de Chile
0718-8382,HYBRIS: Revista de Filosofía,CC BY-NC-ND,CENALTES
0718-8471,Byzantion Nea Hellás,CC BY-NC-ND,Universidad de Chile
0718-8706,Avances en Ciencias e Ingeniería,CC BY-NC-ND,Executive Business School
0718-8749,Cuadernos Judaicos,CC BY-NC,Universidad de Chile
0718-8994,Revista Chilena de Entomología,CC BY-NC,Sociedad Chilena de Entomología
0718-9230,Revista Estudios Hemisféricos y Polares (Hemispheric & Polar Studies Journal),CC BY-NC-SA,Centro de Estudios Hemisféricos y Polares
0718-9303,Boletín de Filología,CC BY-NC-ND,Universidad de Chile
0718-9397,Akadèmeia,CC BY-NC-ND,Universidad Gabriela Mistral (UGM)
0718-946X,Cuaderno de Trabajo Social,CC BY,Universidad Tecnologica Metropolitana
0718-9656,Revista Enfoques (Revista Enfoques: Ciencia Política y Administración Pública),CC BY-SA,Universidad Central de Chile
0718-9753,Revista de Derecho (Coquimbo),CC BY,Universidad Católica del Norte
0719-0166,Imagonautas (Revista Interdisciplinaria sobre Imaginarios Sociales),CC BY-NC,Universidade de Vigo
0719-0409,Pensamiento Educativo: Revista de Investigación Educacional Latinoamericana (Pensamiento Educativo: Journal of Latin American Educational Research),CC BY,Pontificia Universidad Católica de Chile
0719-0417,Punto Género,CC BY,Universidad de Chile
0719-0581,Revista de Psicología,CC BY,Universidad de Chile
0719-0646,Cubo (A Mathematical Journal),CC BY-NC,Universidad de La Frontera
0719-0700,Revista Hábitat Sustentable,CC BY,Universidad del Bío Bío
0719-0816,Estudios de Administración (Business Administration Studies),CC BY-NC-SA,Universidad de Chile
0719-0883,Persona y Sociedad,CC BY-NC,"Facultad de Ciencias Sociales,  Universidad Alberto Hurtado"
0719-0948,Si Somos Americanos (Si Somos Americanos: Revista de Estudios Transfronterizos),CC BY,Universidad Arturo Prat
0719-1243,Cuadernos de Historia,CC BY-NC-ND,Universidad de Chile
0719-1472,Revista Chilena de Antropología,CC BY,Universidad de Chile
0719-1529,Comunicación y Medios (Revista Comunicación y Medios),CC BY-NC,Universidad de Chile
0719-1790,Revista Iberoamericana de Estudios Municipales,CC BY-NC,Universidad Autónoma de Chile
0719-1855,ARS Medica (ARS Medica: Revista de Ciencias Médicas),CC BY-SA,Pontificia Universidad Católica de Chile
0719-2177,Revista CIS,CC BY-NC-SA,Centro de Investigación Social (CIS)
0719-2452,Journal of Natural Resources and Development,CC BY-NC-ND,Pontificia Universidad Católica de Valparaíso
0719-2479,Journal of Oral Research,CC BY,Universidad de Concepción.
0719-2584,Revista Chilena de Derecho y Tecnología,CC BY-SA,Universidad de Chile
0719-2789,Cultura-Hombre-Sociedad (CUHSO),CC BY,Universidad Católica de Temuco
0719-3092,Revista nuestrAmérica,CC BY-NC-SA,Ediciones nuestrAmérica desde Abajo
0719-3262,"Logos: Revista de Lingüística, Literatura y Filosofía",CC BY,Universidad de La Serena
0719-367X,Cuadernos.info,CC BY-SA,Pontificia Universidad Católica de Chile
0719-3688,Revista de Estudios Políticos y Estratégicos,CC BY,Universidad Tecnológica Metropolitana. Departamento Gestión de la Información
0719-3726,"Sustainability, Agri, Food and Environmental Research",CC BY-NC-SA,Universidad Católica de Temuco
0719-3769,Estudios Internacionales,CC BY-SA,Universidad de Chile. Instituto de Estudios Internacionales
0719-4013,Revista Ciencias de la Actividad Física,CC BY-SA,"Universidad Católica del Maule, Facultad de Ciencias de la Educación"
0719-4242,Revista de Humanidades de Valparaíso,CC BY-NC-SA,Universidad de Valparaíso
0719-4250,Journal of Pharmacy & Pharmacognosy Research (JPPRes),CC BY-NC-ND,GarVal Editorial Ltda.
0719-4404,Notas Históricas y Geográficas,CC BY-NC-ND,Universidad de Playa Ancha
0719-4633,Revista de Derecho Ambiental,CC BY-NC-SA,Universidad de Chile
0719-4692,Revista Chilena de Fonoaudiología,CC BY-NC-SA,Universidad de Chile
0719-4706,Revista Inclusiones,CC BY-NC,Editorial Cuadernos de Sofía
0719-4749,Revista de Historia Social y de las Mentalidades,CC BY,Universidad de Santiago de Chile
0719-4773,Mutatis Mutandis: Revista Internacional de Filosofía,CC BY-NC-ND,Corporación Filosofía y Sociedad
0719-482X,Revista Tribuna Internacional,CC BY-SA,Universidad de Chile
0719-4862,Meridional (Meridional: Revista Chilena de Estudios Latinoamericanos),CC BY-NC-ND,Universidad de Chile
0719-4986,Biodiversity and Natural History,CC BY-NC,Centro de Estudios en Biodiversidad
0719-4994,"RIVAR (Revista Iberoamericana de Viticultura, Agroindustria y Ruralidad)",CC BY-SA,Universidad de Santiago de Chile
0719-5249,Revista de Derecho Público,CC BY-SA,Universidad de Chile
0719-5281,Revista Chilena de Salud Pública,CC BY-NC-ND,Universidad de Chile
0719-529X,Revista de Sociología,CC BY-NC-SA,Universidad de Chile
0719-5338,Política (Política: Revista de Ciencia Política),CC BY-SA,Universidad de Chile
0719-5346,Revista Chilena de Terapia Ocupacional,CC BY-NC-ND,Universidad de Chile
0719-5370,Investigaciones Geográficas,CC BY-NC-ND,"Universidad de Chile, Departamento de Geografía"
0719-5427,Revista de Arquitectura,CC BY-NC-ND,Universidad de Chile
0719-5443,Lenguas Modernas,CC BY-NC-ND,Universidad de Chile
0719-5532,Antropologías del Sur,CC BY-NC-ND,Universidad Academia de Humanismo Cristiano
0719-5605,Sophia Austral (Revista Sophia Austral),CC BY-NC,Universidad de Magallanes
0719-5699,Tiempo Histórico,CC BY-NC-ND,Universidad Academia de Humanismo Cristiano
0719-5702,Resonancias,CC BY-NC-ND,Pontificia Universidad Católica de Chile
0719-5737,100-Cs,CC BY-NC,Editorial Cuadernos de Sofía
0719-5885,Revista Pedagogía Universitaria y Didáctica del Derecho,CC BY-SA,Universidad de Chile
0719-6245,RAN (Revista Academia & Negocios),CC BY,Universidad de Concepción
0719-6296,Revista Estudios de Políticas Públicas,CC BY-NC-ND,Universidad de Chile
0719-630X,Panambí (Revista de Investigaciones Artísticas),CC BY,Universidad de Valparaíso
0719-6318,Revista de la Academia,CC BY-NC-ND,Universidad Academia de Humanismo Cristiano
0719-6466,Arquitecturas del Sur,CC BY,Universidad del Bío Bío
0719-6520,TS Cuadernos de Trabajo Social (Ts. Cuadernos de trabajo social),CC BY-SA,Universidad de San Sebastián
0719-6792,Revista Chilena de Anestesia,CC BY-NC,Editorial Iku
0719-7012,Cuadernos de Arte Prehistórico,CC BY-NC,Editorial Cuadernos de Sofía
0719-7128,Revista Educación Las Américas,CC BY-NC,Universidad de las Américas
0719-7209,Revista de Geografía Espacios,CC BY-NC-ND,Universidad Academia de Humanismo Cristiano
0719-7438,Polyphonía,CC BY-NC-SA,Centro de Estudios Latinoamericanos de Educación Inclusiva
0719-7519,Dorsal (Revista de Estudios Foucaultianos),CC BY-NC-ND,CENALTES
0719-7624,Revista Gestión de la  Innovación en Educación Superior (REGIES),CC BY-NC-SA,Universidad Tecnológica de Chile INACAP
0719-7721,Rumbos TS (Un Espacio Crítico para la Reflexión en Ciencias Sociales),CC BY,Universidad Central de Chile
0719-790X,Resonancias: Revista de Filosofía,CC BY-NC-ND,Universidad de Chile
0719-7969,Historia 396,CC BY,Pontificia Universidad Católica de Valparaíso
0719-8019,Paulo Freire (Paulo Freire: Revista de Pedagogía Crítica),CC BY-NC,Universidad Academia de Humanismo Cristiano
0719-8027,Política y Estrategia (Revista Política y Estrategia),CC BY,Academia Nacional de Estudios Políticos y Estratégicos
0719-8051,Castalia (Castalia: Revista de Psicología de la Academia),CC BY,Universidad Academia de Humanismo Cristiano
0719-8078,Pensamiento y Acción Interdisciplinaria,CC BY-NC-SA,Universidad Católica del Maule
0719-8175,Cuadernos de Teología - Universidad Católica del Norte (Cuadernos de Teología),CC BY,Universidad Católica del Norte
0719-8213,Autoctonía (Autoctonía: Revista de Ciencias Sociales e Historia),CC BY-NC-SA,Universidad Bernardo O'Higgins
0719-8256,Revista Chilena de Relaciones Internacionales,CC BY-NC-ND,Sociedad de Historia de Valparaiso
0719-837X,RChD: Creación y Pensamiento,CC BY-NC-ND,Universidad de Chile
0719-8477,Revista de Estudios Latinoamericanos sobre Reducción del Riesgo de Desastres (REDER),CC BY-NC,Corporación Gestión de Riesgos y Desastres GRID-Chile
0719-8736,Salud y Bienestar Colectivo,CC BY-NC,Centro de Apoyo Psicopedagógico Aragón A.C.
0719-9112,Latin American Legal Studies,CC BY,Universidad Adolfo Ibáñez
0719-9368,Latin American Journal of Trade Policy (LAJTP),CC BY-NC,Universidad de Chile
0719-9392,Revista Justicia y Derecho,CC BY-NC-ND,Universidad Autónoma de Chile
0719-9430,Cogency (Journal of Reasoning and Argumentation),CC BY,Universidad Diego Portales
0719-983X,Revista Stultifera (De Humanidades y Ciencias Sociales),CC BY-NC,Universidad Austral de Chile
0719-9856,Culturas Cientificas,CC BY,"Universidad de Santiago de Chile, Departamento de Filosofía"
0719-9872,UCMaule,CC BY-NC-SA,Universidad Católica del Maule
0719-997X,Amoxtli,CC BY-NC-SA,Ariadna Ediciones
0797-3691,Dixit,CC BY-NC,Universidad Católica del Uruguay
0805-9535,Norsk Medietidsskrift,CC BY,Universitetsforlaget
0807-7096,Tidsskrift for Den norske legeforening (Journal of the Norwegian Medical Association),CC BY-ND,Den norske legeforening
0807-9277,Fysioterapeuten,CC BY-NC,Norwegian Physiotherapist Association
0809-9936,Journal of Comparative Social Work,CC BY-SA,University of Stavanger
0866-787X,Tạp chí Khoa học Đại học Đà Lạt (Dalat University Journal of Science),CC BY-NC,Dalat University
0870-6182,Ler História,CC BY-NC,Associação de Actividades Científicas
0948-6968,Journal of Universal Computer Science (J.UCS),CC BY-ND,Graz University of Technology
0972-5997,Online Journal of Health & Allied Sciences,CC BY-ND,Light House Polyclinic Mangalore
0972-6292,Indian Pacing and Electrophysiology Journal,"CC BY, CC BY-NC-ND",Elsevier
0973-0311,The Indian Anaesthetists' Forum,CC BY-NC-SA,Wolters Kluwer Medknow Publications
0973-3701,Indian Journal of Rheumatology,CC BY-NC-SA,Wolters Kluwer Medknow Publications
0973-709X,Journal of Clinical and Diagnostic Research (JCDR),CC BY-NC-ND,JCDR Research and Publications Private Limited
0973-7154,Journal of Stem Cells and Regenerative Medicine,CC BY,GN Corporation Limited
0974-0546,Carbon: Science and Technology,CC BY-NC-ND,Applied Science Innovations Private Limited
0974-1844,Journal of Applied Animal Research,"CC BY, CC BY-NC",Taylor & Francis Group
0974-2484,Journal of the Indian Academy of Geriatrics,CC BY-NC-SA,Wolters Kluwer Medknow Publications
0974-5130,Indian Journal of Pathology and Microbiology,CC BY-NC-SA,Wolters Kluwer Medknow Publications
0974-5149,Annals of Pediatric Cardiology,CC BY-NC-SA,Wolters Kluwer Medknow Publications
0974-5157,Journal of Cutaneous and Aesthetic Surgery,CC BY-NC-SA,Wolters Kluwer Medknow Publications
0974-5165,Journal of Cytology,CC BY-NC-SA,Wolters Kluwer Medknow Publications
0974-5181,Annals of Cardiac Anaesthesia,CC BY-NC-SA,Wolters Kluwer Medknow Publications
0974-519X,"Journal of Emergencies, Trauma and Shock",CC BY-NC-SA,Wolters Kluwer Medknow Publications
0974-598X,Lung India,CC BY-NC-SA,Wolters Kluwer Medknow Publications
0974-5998,African Journal of Paediatric Surgery,CC BY-NC-SA,Wolters Kluwer Medknow Publications
0974-7826,Journal of Laboratory Physicians,"CC BY, CC BY-NC-ND",Thieme Medical and Scientific Publishers Pvt. Ltd.
0974-7834,Urology Annals,CC BY-NC-SA,Wolters Kluwer Medknow Publications
0974-7842,Oman Journal of Ophthalmology,CC BY-NC-SA,Wolters Kluwer Medknow Publications
0974-7907,Journal of Threatened Taxa,CC BY,Wildlife Information Liaison Development Society
0974-8245,Journal of Global Infectious Diseases,CC BY-NC-SA,Wolters Kluwer Medknow Publications
0974-9098,Journal of Indian Orthodontic Society,"CC BY, CC BY-NC",SAGE Publishing
0975-0959,Indian Journal of Biochemistry and Biophysics,CC BY-NC-ND,CSIR-NIScPR
0975-1009,Indian Journal of Experimental Biology,CC BY-NC-ND,CSIR-NIScPR
0975-1025,Indian Journal of Fibre & Textile Research (IJFTR),CC BY-NC-ND,CSIR-NIScPR
0975-1041,Indian Journal of Pure & Applied Physics (IJPAP),CC BY-NC-ND,NISCAIR
0975-1068,Indian Journal of Traditional Knowledge,CC BY-NC-ND,CSIR-NIScPR
0975-1084,Journal of Scientific and Industrial Research,CC BY-NC-ND,CSIR-NIScPR
0975-1564,Indian Journal of Psychological Medicine,"CC BY, CC BY-NC",SAGE Publishing
0975-1572,Journal of Indian Academy of Oral Medicine and Radiology,CC BY-NC-SA,Wolters Kluwer Medknow Publications
0975-1580,Journal of Indian Society of Periodontology,CC BY-NC-SA,Wolters Kluwer Medknow Publications
0975-2404,Annals of Library and Information Studies,CC BY-NC-ND,CSIR-NIScPR
0975-2935,Rupkatha Journal on Interdisciplinary Studies in Humanities,CC BY-NC,AesthetixMS: Aesthetics Media Services
0975-3125,Saudi Journal of Anaesthesia (SJA),CC BY-NC-SA,Wolters Kluwer Medknow Publications
0975-3133,Conservation & Society (Conservation and Society),CC BY-NC-SA,Wolters Kluwer Medknow Publications
0975-4466,Annals of Saudi Medicine,CC BY-NC-ND,King Faisal Specialist Hospital and Research Centre
0975-7406,Journal of Pharmacy and Bioallied Sciences,CC BY-NC-SA,Wolters Kluwer Medknow Publications
0975-928X,Electronic Journal of Plant Breeding,CC BY-NC,Indian Society of Plant Breeders
0976-0512,Indian Journal of Natural Products and Resources,CC BY-NC-ND,NISCAIR
0976-2094,Journal of Advanced Pharmaceutical Technology & Research (JAPTR),CC BY-NC-SA,Wolters Kluwer Medknow Publications
0976-2361,Contemporary Clinical Dentistry,CC BY-NC-SA,Wolters Kluwer Medknow Publications
0976-2795,Industrial Psychiatry Journal,CC BY-NC-SA,Wolters Kluwer Medknow Publications
0976-2809,Journal of Ayurveda and Integrative Medicine,"CC BY, CC BY-NC-ND",Elsevier
0976-2817,Indian Journal of Anaesthesia,CC BY-NC-SA,Wolters Kluwer Medknow Publications
0976-3600,African Journal of Business Ethics (AJoBE),CC BY-NC-ND,Business Ethics Network of Africa
0976-5050,Journal of Digestive Endoscopy,"CC BY, CC BY-NC-ND",Thieme Medical and Scientific Publishers Pvt. Ltd.
0976-5123,Heart Views,CC BY-NC-SA,Wolters Kluwer Medknow Publications
0976-7819,Journal of Mid-Life Health,CC BY-NC-SA,Wolters Kluwer Medknow Publications
0976-9102,ICTACT Journal on Image and Video Processing (IJIVP),CC BY-NC-SA,ICT Academy of Tamil Nadu
0976-9285,Journal of Craniovertebral Junction and Spine,CC BY-NC-SA,Wolters Kluwer Medknow Publications
1018-1539,Österreichisches Religionspädagogisches Forum,CC BY-NC,Universität Graz
1025-0247,Agrisost,CC BY-NC-ND,Universidad de Camagüey Ignacio Agramonte Loynaz
1025-0255,Archivo Médico de Camagüey (AMC),CC BY-NC,Universidad de Ciencias Médicas de Camagüey
1025-0298,VacciMonitor,CC BY-NC,Finlay Ediciones
1027-2127,Ciencias Holguín,CC BY-NC,Centro de Información y Gestión Tecnológica (CIGET) Holguín
1027-2852,Biotecnología Aplicada,CC BY-NC-SA,Elfos Scientiae
1028-4818,Multimed (Revista Médica Multimed),CC BY-NC-SA,Universidad de Ciencias Médicas de Granma
1028-9933,Revista Información Científica,CC BY,Universidad de Ciencias Médicas de Guantánamo
1029-242X,Journal of Inequalities and Applications,CC BY,SpringerOpen
1029-3019,Medisan,CC BY-NC,Centro Provincial de Información de Ciencias Médicas
1029-3027,Revista Electrónica Dr. Zoilo E. Marinello Vidaurreta (Revista Zoilo Marinello),CC BY,Universidad de Ciencias Médicas de Las Tunas
1029-3043,Medicentro (Revista Medicentro Electrónica),CC BY-NC,Universidad de Ciencias Médicas de Villa Clara
1029-8479,Journal of High Energy Physics (JHEP),CC BY,SpringerOpen
1058-6768,LIBRES: Library and Information Science Research Electronic Journal (LIBRES: Library and Information Science Research e-Journal),CC BY-SA,"Nanyang Technological University, Singapore"
1067-3040,Music Theory Online (MTO),Publisher's own license,Society for Music Theory
1068-2341,Education Policy Analysis Archives (EPAA),CC BY-SA,Arizona State University
1069-1898,Journal of Statistics Education,"CC BY, CC BY-NC",Taylor & Francis Group
1072-4303,TESL-EJ (Teaching English as a Second or Foreign Language),CC BY-NC-ND,TESL-EJ
1072-6691,Electronic Journal of Differential Equations (EJDE),CC BY,Texas State University
1073-0451,Journal of Political Ecology,CC BY,University of Arizona Libraries
1076-156X,Journal of World-Systems Research,CC BY,"University Library System, University of Pittsburgh"
1076-7975,Electronic Green Journal (EGJ),CC BY,"eScholarship Publishing, University of California"
1076-9803,New York Journal of Mathematics,CC BY,State University of New York at Albany
1077-5315,Journal of Extension,CC BY-NC-SA,Clemson University Press
1077-8926,Electronic Journal of Combinatorics,CC BY,Electronic Journal of Combinatorics
1080-2711,Journal of Electronic Publishing,CC BY-NC-ND,Michigan Publishing
1080-6059,Emerging Infectious Diseases (EID),CC BY,Centers for Disease Control and Prevention
1083-351X,Journal of Biological Chemistry,"CC BY, CC BY-NC-ND",Elsevier
1083-589X,Electronic Communications in Probability,CC BY,Institute of Mathematical Statistics
1083-6101,Journal of Computer-Mediated Communication,CC BY,Oxford University Press
1083-6489,Electronic Journal of Probability,CC BY,Institute of Mathematical Statistics
1087-2108,Dermatology Online Journal,CC BY-NC-ND,"eScholarship Publishing, University of California"
1087-2981,Medical Education Online (MEO),"CC BY, CC BY-NC",Taylor & Francis Group
1087-6545,Applied Artificial Intelligence,"CC BY, CC BY-NC",Taylor & Francis Group
1089-8646,Genomics,"CC BY, CC BY-NC-ND",Elsevier
1089-9758,Online Journal of Nursing Informatics,CC BY-NC-ND,HIMSS
1090-0535,Molecular Vision,CC BY-NC-ND,Molecular Vision
1090-2414,Ecotoxicology and Environmental Safety,"CC BY, CC BY-NC-ND",Elsevier
1091-1774,Hmong Studies Journal (HSJ),CC BY-NC-ND,Hmong Studies Journal
1094-3501,Language Learning and Technology (Language Learning & Technology),CC BY-NC-ND,University of Hawaii
1094-4087,Optics Express,"CC BY, Publisher's own license",Optica Publishing Group
1094-5253,Journal of Southern Religion (JSR),CC BY,West Virginia University
1094-8074,Palaeontologia Electronica,"CC BY, CC BY-NC-SA",Coquina Press
1095-5054,Stanford Encyclopedia of Philosophy,Publisher's own license,Stanford University
1095-9289,ICES Journal of Marine Science,CC BY,Oxford University Press
1095-953X,Neurobiology of Disease,"CC BY, CC BY-NC-ND",Elsevier
1095-9572,NeuroImage,"CC BY, CC BY-NC-ND",Elsevier
1096-0945,Experimental and Molecular Pathology,"CC BY, CC BY-NC-ND",Elsevier
1096-1127,Food Science & Technology (LWT),"CC BY, CC BY-NC-ND",Elsevier
1096-1186,Pharmacological Research,"CC BY, CC BY-NC-ND",Elsevier
1096-1194,Molecular and Cellular Probes,"CC BY, CC BY-NC-ND",Elsevier
1097-0193,Human Brain Mapping,"CC BY, CC BY-NC, CC BY-NC-ND",Wiley
1098-0997,Infectious Diseases in Obstetrics and Gynecology,CC BY,Hindawi Limited
1098-1071,Heteroatom Chemistry,CC BY,Hindawi-Wiley
1098-2329,Advances in Polymer Technology,CC BY,Hindawi-Wiley
1098-2825,Journal of Clinical Laboratory Analysis,"CC BY, CC BY-NC, CC BY-NC-ND",Wiley
1098-4402,Physical Review Special Topics. Accelerators and Beams,CC BY,American Physical Society
1099-0526,Complexity,CC BY,Hindawi-Wiley
1099-114X,International Journal of Energy Research,CC BY,Hindawi-Wiley
1099-1824,Wind Energy,"CC BY, CC BY-NC, CC BY-NC-ND",Wiley
1099-4300,Entropy,CC BY,MDPI AG
1099-839X,Current Issues in Education (CIE),CC BY-SA,Arizona State University
1110-709X,Mağallaẗ Kulliyyaẗ Al-Adāb Bi-Qinā,CC BY-NC,"South Valley University, Faculty of Arts in Qena"
1123-7023,Cromohs: Cyber Review of Modern Historiography (Cromohs),CC BY,Firenze University Press
1128-5656,Scrineum Rivista,CC BY,Firenze University Press
1129-2377,The Journal of Headache and Pain,CC BY,BMC
1134-4032,RELIEVE: Revista Electrónica de Investigación y Evaluación Educativa (RELIEVE),CC BY-NC,Asociación Interuniversitaria de Investigación Pedagógía
1135-9250,Edutec (Revista electrónica de Tecnología Educativa),CC BY,Universidad de las Islas Baleares
1138-9737,Teoría de la Educación: Educación y Cultura en la Sociedad de la Información,CC BY-NC-ND,Ediciones Universidad de Salamanca
1138-9877,Cuadernos Electrónicos de Filosofía del Derecho (CEFD),CC BY-NC-ND,University of Valencia
1139-7365,On the W@terfront (On the Waterfront),CC BY,Universitat de Barcelona
1172-6156,Journal of Primary Health Care,CC BY-NC-ND,CSIRO Publishing
1175-2882,Asia-Pacific Journal of Cooperative Education,Publisher's own license,New Zealand Association for Cooperative Education
1176-9343,Evolutionary Bioinformatics (Evolutionary Bioinformatics Online),"CC BY, CC BY-NC",SAGE Publishing
1176-9351,Cancer Informatics,"CC BY, CC BY-NC",SAGE Publishing
1177-083X,Kōtuitui (Kōtuitui: New Zealand Journal of Social Sciences Online),CC BY-NC-ND,Taylor & Francis Group
1177-2719,Biomarker Insights,"CC BY, CC BY-NC",SAGE Publishing
1177-3928,Drug Target Insights,CC BY-NC,AboutScience Srl
1177-5483,Clinical Ophthalmology,"CC BY, CC BY-NC",Dove Medical Press
1177-5491,Biologics: Targets & Therapy,"CC BY, CC BY-NC",Dove Medical Press
1177-8881,"Drug Design, Development and Therapy","CC BY, CC BY-NC",Dove Medical Press
1177-889X,Patient Preference and Adherence,"CC BY, CC BY-NC",Dove Medical Press
1177-8903,"Nanotechnology, Science and Applications","CC BY, CC BY-NC",Dove Medical Press
1177-9322,Bioinformatics and Biology Insights (BBI),"CC BY, CC BY-NC",SAGE Publishing
